id	title	content	category
141	"Asian banks halt dollar's slide
"	dollar regained lost ground major currency wednesday south korea japan denied planning sell-off dollar suffered biggest one-day fall month tuesday fear asian central bank lower reserve dollar japan biggest holder dollar reserve world south korea fourth largest dollar buying  yen  gmt  stronger day edged higher euro pound euro worth  pound buying  concern rising oil price outlook dollar pushed stock market tuesday dow jones industrial average closed  nasdaq lost  dollar latest slide began south korean parliamentary report suggested country  foreign reserve plan boost holding currency australian canadian dollar wednesday south korea moved steady financial market issued statement bank korea change portfolio currency reserve short term market factor japan steadied nerve senior japanese finance ministry official told reuters plan change composition currency holding foreign reserve thinking expanding euro holding japan  foreign exchange reserve start year currency lost  euro final month  fallen record low staged recovery analyst pointed dollar inability recently extend rally despite positive economic corporate data highlighted fact us economic problem disappeared focus country massive trade budget deficit analyst predicted dollar weakness come	business
1399	"GB quartet get cross country call
"	british athlete pre-selected compete world cross country championship march impressive start season hayley yelling jo pavey karl keska adam hickey represent team gb event france yelling clinched woman european cross country title month pavey followed bronze keska helped men team overall place hickey finished  place junior debut winning european cross country title meant said yelling pre-selected world mean focus preparing best way possible -year-old race alongside olympic  finalist pavey woman  race  march keska successful return long-term injury lay-off contest men  race  march -year-old hickey go junior men  day rest team named trial wollaton park nottingham place  march	sport
807	"Spider-Man creator wins profits
"	spider-man creator stan lee multi-million dollar windfall winning court battle comic book company marvel judge upheld lee demand  marvel profit hugely successful spider-man film spider-man sequel   box office worldwide cut lee  created spider-man  lawyer said ten million dollar thats exaggeration district court judge robert w sweet ruled lee tenth profit generated november  marvel tv movie production involving company character lee took legal action  saying marvel shut jackpot profit blockbuster film said company - worked  year - gone agreement  spider-man lee co-created incredible hulk x-men daredevil fantastic character said gratified judge decision deeply fond marvel people sincerely regret situation come ruling mean entitled slice profit dvd sale certain merchandise marvel said appeal did expect decision impact financial forecast  new york court did rule lee claim share profit spider-man hulk movie merchandise decided future trial marvel said	entertainment
1054	"Howard unveils election platform
"	conservative stand forgotten majority michael howard pledged unveiled tory election manifesto tory leader argued mass people say feel let tony blair share tory value foreword manifesto promise focus restoring order trying lower tax giving power people labour say document offer return failed tory past liberal democrat say conservative win predict three-party contest campaigning activity accelerating ahead general election widely tipped time june  labour monday postponed launch election poster asian tsunami disaster mr howard published introduction tory manifesto chapter follow coming week speech northamptonshire said forgotten majority backbone britain people saving home retirement working hard accepting responsibility say manifesto foreword forgotten neglected taken granted mr blair saying britain change direction mr howard argues government big continue path rising tax promise ensure frontline professional parent patient make key decision whitehall bureaucrat say tory grip crime immigration disorder decline responsibility proliferation so-called human right left moral quagmire unable grip rising crime disorder say mr howard say produce timetable action people hold account issue like taxation far published option specific plan mr howard told bbc news im determined lower tax im determined make promise tory unveiling material month ahead expected election needed time make voter aware policy said asked tory support government iraq identity card given lib dems chance portray opposition labour mr howard argued test policy best britain putting clear blue water opponent labour election slogan britain working dont let tory wreck campaign coordinator alan milburn accused tory launching thatcherism instalment labour helped hard working majority family lib dem president simon hughes said party set election stance september liberal democrat ask british people support year party policy best able deliver freedom fairness restore trust said	politics
1080	"Police probe BNP mosque leaflet
"	police investigating british national party leaflet posted home south wale opposing plan new mosque anti-racism campaigner swansea handed copy south wale police swansea muslim community raising money open new mosque community centre st andrew united reform church building george street derelict  taha idris director swansea bay race equality council said organisation contacted police receiving complaint public im quite shocked sort leaflet bnp swansea said bnp tried past swansea example trying doubt bnp needed wanted south wale police spokeswoman confirmed looking content leaflet according bnps website posted home castle ward bnp website carry photograph party leader nick griffin - life near welshpool mid wale - delivering leaflet bnp denied trying stir hatred race religion argues able debate fear arrest swansea unite fascism uaf meeting week plan campaign following death earlier year kalan kawa karim iraqi kurd living swansea organised anti-racism march city supported  people planning mail shot campaign launch petition support plan mosque andy richards swansea uaf said leaflet exactly come expect bnp people swansea swansea muslim community bought church just road existing mosque st helen road late  mr idris said community raising money renovate building landmark building swansea just crumble said ideal opportunity building restored used proper manner muslim community centre holistic place used education wedding death birth said space limited current mosque occasion muslim travel llanelli cultural event	politics
1375	"Holmes urged to compete at Worlds
"	jolanda ceplak urged britain kelly holmes continue competing major championship double olympic gold medallist holmes strongly hinted run year world undecided month european indoors world indoor  record holder ceplak said easy race field excitement happen good sport fetch best ceplak great rival holmes briton career pair fell holmes questioned manner slovenian runaway  victory  european championship controversy forgotten ceplak acting pacemaker holmes failed attempt british indoor  record norwich union grand prix birmingham  ceplak added like running - know race going fast sort competition like special like idol beginning career ceplak looking follow saturday win boston fast time victory friday night athletics erfurt germany britain jason gardener expected defend  title erfurt instead save competition leipzig sunday gardener decision mean scotland  man ian mackie carry british hope look sure tough preparation weekend norwich union european trial sheffield	sport
2204	"Kenyan school turns to handhelds
"	mbita point primary school western kenya student click away handheld computer stylus doing exercise school textbook digitised pilot project run eduvision looking way use low cost computer system up-to-date information student currently stuck ancient textbook matthew herr eduvision told bbc programme digital non-governmental organisation us combination satellite radio handheld computer called e-slates e-slates connect wireless connection base station school turn connected satellite radio receiver data transmitted alongside audio signal base station process information satellite transmission turn form read handheld e-slates downloads satellite day process stream sort content material destined user connected store hard disc cheaper installing maintaining internet connection conventional computer network mr herr say pro con project simple set just satellite antenna roof school one-way connection getting feedback specific request end user difficult project pilot stage eduvision staff ground attend teething problem linux-based content divided visual information textual information question user scroll section independently eduvision planning include audio video file develops add content mr herr say vastly increase opportunity available student currently negotiation advantage project organised search site google digitise world largest university library book public domain like  million base station manufacture rural school africa access library student oxford harvard currently project operating area main electricity mr herr say eduvision plan extend remote region plan solar panel school base station e-slates charge day child school home night continue working maciej sundra designed user interface e-slates say project ultimate goal levelling access knowledge world age people research using internet student using textbook fact doing rural developing country exciting - need	tech
1808	"Philippoussis doubt over Open bid
"	mark philippoussis certain miss australian open suffering groin injury hopman cup loss netherlands -year-old suffered tear adductor muscle unable play deciding mixed double unlikely fit time australian open begin  january melbourne strengthen cope repetitive day tennis said hopman cup doctor hamish osborne unlikely opinion five-setter let day row inside week injury common australian rule football fit footballer normally week recover fully mark injury slightly different australian suffered host injury problem career holding slim hope make event ill feel ill start treatment soon possible try strengthen tearing said doesnt kill make stronger know come thats matter - world number tommy haas doubt australian open picking thigh injury playing germany hopman cup -year-old treatment left thigh leading argentine guillermo corium - - played game movement hampered quit	sport
1530	"Mourinho plots impressive course
"	chelseas win fulham - confirming position premiership summit - prof place mount challenge front season got strength depth great player outstanding manager jose mourinho finance club world match need add big prize know difficult thing certain - position make leap success impressively beat tough everton stamford bridge won newcastle carling cup won - fulham great result given showing good form said winning major honour hardest task mourinho manager make lot easier handle anticipation expectation come way mourinho won biggest club prize champion league track record confidence transmits player priceless commodity no-one highly-impressed mourinho regarded touch arrogant people maybe appear way silverware talk mourinho doesnt simply talk good game - he won big game champion league final porto criticise talk word backed action ive realistic ive heard he spent lot money working remember lot manager spent money worked buy integrating arjen robben player giving extra dimension early game slaughtered defensive tactic winning game win title early season certainly lose point board vital thought criticism harsh scoring goal creating chance hatful taking chance double threat robben damien duff thing looking good just wonder lack predator particularly didier drogba injured starting look sidelined feel chelsea ruud van nistelrooy safe bet title chelsea tool far champion league felt better chance season swept europe far season interesting mourinho prioritises thing life easier size chelseas squad said believed chelsea win league season arsenal flying start seen make change mind seen confirmed early impression chelsea taken encouragement arsenal rocky defensive display spur ran - winner mourinho say game complaining five-four hockey score football score three-against-three training match score reach - send player dressing room defending properly result like game   disgraceful note game merely confirmed importance sol campbell arsenal criticism aimed pascal cygan believe problem lie absence campbell overall effect arsenal defence confidence crucial factor defending start conceding goal suddenly chill bone time ball come penalty area think oh - worst fear confirmed arsenal need reverse process campbell clean sheet board return campbell key solidifies unit pace powerful air deck vastly experienced calming influence campbell pull get defence playing unit chelsea problem present place money edge arsenal champion season	sport
231	"Lloyd's of London head chides FSA
"	head lloyd london insurance market criticised britain financial watchdog financial service authority fsa speech monday mr prettejohn urged fsa force broker disclose size commission fsa change change said mr prettejohn want disclosure request mandatory disclosure came speech improving london insurance market fsa bide time wait seize moment mr prettejohn lloyd chief executive said fsa took regulation general insurance sector january sidestepped call require broker disclose commission earn insurer client week city watchdog gave broker insurer guidance managing conflict broker information commission customer request fsa said lack transparency broker commission led problem world biggest insurance broker marsh mclennan said week pay  settle charge raised new york attorney general eliot spitzer october sought rig bid conjunction insurer probe centred so-called contingent commission broker rewarded according business brought insurer arrangement did benefit broker customer insurance business written lloyd market placed broker	business
